Paper_ID,Author_ID,Author_Name,Author_Position,Is_Corresponding,Institution_IDs,Institution_Names
W2126626399,A5025922937,Stéphane Bressan,middle,False,I165932596,National University of Singapore
W2126626399,A5041964026,Patrick Valduriez,last,False,I4210101743|I1326498283,"Laboratoire d'Informatique, de Robotique et de Microélectronique de Montpellier|Institut national de recherche en informatique et en automatique"
W2342966760,A5103248914,Qian Ma,first,True,I177725633,Chinese University of Hong Kong
W2342966760,A5020753840,Ya‐Feng Liu,middle,False,I19820366|I4210120485,Chinese Academy of Sciences|Academy of Mathematics and Systems Science
W2342966760,A5062346297,Jianwei Huang,last,False,I177725633,Chinese University of Hong Kong
W2765365501,A5103800478,Samuel A. Fricker,first,True,I52719799|I2972652528,Blekinge Institute of Technology|FHNW University of Applied Sciences and Arts
W2765365501,A5001194381,Yuliyan V. Maksimov,last,False,I2972652528,FHNW University of Applied Sciences and Arts
W2920282816,A5069765568,Weichao Mao,first,True,I183067930,Shanghai Jiao Tong University
W2920282816,A5050396482,Zhenzhe Zheng,middle,False,I183067930,Shanghai Jiao Tong University
W2920282816,A5059190563,Fan Wu,last,False,I183067930,Shanghai Jiao Tong University
W3121615946,A5101409910,Chengzhen Xu,first,True,I70986742,Novelis (Canada)
W3121615946,A5000861569,Kun Zhu,middle,False,I70986742,Novelis (Canada)
W3121615946,A5043939315,Changyan Yi,middle,False,I70986742,Novelis (Canada)
W3121615946,A5100447486,Ran Wang,last,False,I70986742,Novelis (Canada)
W1994174199,A5009846526,Yue Jin,first,True,None,None
W1994174199,A5010575483,Zhan Pang,last,False,I67415387,Lancaster University
W2327152018,A5020878231,Youngbin Im,first,True,I188538660,University of Colorado Boulder
W2327152018,A5085243096,Carlee Joe‐Wong,middle,False,I20089843,Princeton University
W2327152018,A5023497481,Sangtae Ha,middle,False,I188538660,University of Colorado Boulder
W2327152018,A5101951074,Soumya Sen,middle,False,I130238516,University of Minnesota
W2327152018,A5106697460,Ted Taekyoung Kwon,middle,False,I139264467,Seoul National University
W2327152018,A5110782105,Mung Chiang,last,False,I20089843,Princeton University
W3021370403,A5051329282,I-Hsun Chuang,first,True,I91807558,National Cheng Kung University
W3021370403,A5101729953,Shih-Hao Huang,middle,False,I91807558,National Cheng Kung University
W3021370403,A5051531111,Wei-Chu Chao,middle,False,I91807558,National Cheng Kung University
W3021370403,A5030165755,Jen-Sheng Tsai,middle,False,I91807558,National Cheng Kung University
W3021370403,A5101775968,Yau-Hwang Kuo,last,False,I91807558,National Cheng Kung University
W1998665878,A5042081570,Xiaowen Gong,first,True,I55732556,Arizona State University
W1998665878,A5007119869,Lingjie Duan,middle,False,I152815399,Singapore University of Technology and Design
W1998665878,A5041455132,Xu Chen,last,False,I74656192,University of Göttingen
W2916829860,A5050396482,Zhenzhe Zheng,first,True,I183067930,Shanghai Jiao Tong University
W2916829860,A5002637006,Yanqing Peng,middle,False,I183067930,Shanghai Jiao Tong University
W2916829860,A5059190563,Fan Wu,middle,False,I183067930,Shanghai Jiao Tong University
W2916829860,A5050393292,Shaojie Tang,middle,False,I162577319,The University of Texas at Dallas
W2916829860,A5100428808,Guihai Chen,last,False,I183067930,Shanghai Jiao Tong University
W2310916783,A5057301155,Florian Stahl,first,False,None,None
W2310916783,A5002668634,Fabian Schomm,middle,True,None,None
W2310916783,A5088553705,Lara Vomfell,middle,False,None,None
W2310916783,A5083197733,Gottfried Vossen,last,False,I52179390,University of Waikato
W1777686370,A5079341574,Silvia Fabiani,first,True,I103737770,Bank of Italy
W1777686370,A5067550005,Martine Druant,middle,False,I98899809,National Bank of Belgium
