Source,Target,Source_Clean,Target_Clean,is_author_self_cite,is_inst_self_cite,shared_authors_count,Citing_Year
https://openalex.org/W3121561769,https://openalex.org/W2974598553,W3121561769,W2974598553,False,False,0,2020
https://openalex.org/W2956647116,https://openalex.org/W2790400697,W2956647116,W2790400697,False,False,0,2019
https://openalex.org/W2982407593,https://openalex.org/W2612128091,W2982407593,W2612128091,False,False,0,2019
https://openalex.org/W1516789636,https://openalex.org/W1777686370,W1516789636,W1777686370,False,True,0,2007
https://openalex.org/W3117086259,https://openalex.org/W2910976764,W3117086259,W2910976764,False,False,0,2020
https://openalex.org/W3117086259,https://openalex.org/W2974598553,W3117086259,W2974598553,False,False,0,2020
https://openalex.org/W2509511072,https://openalex.org/W1994174199,W2509511072,W1994174199,False,False,0,2016
https://openalex.org/W2509511072,https://openalex.org/W2010653253,W2509511072,W2010653253,True,True,1,2016
https://openalex.org/W2919782326,https://openalex.org/W2168402580,W2919782326,W2168402580,False,False,0,2019
https://openalex.org/W2508874533,https://openalex.org/W2010653253,W2508874533,W2010653253,False,False,0,2016
