edge_id,source_id,target_id,citing_paper_title,cited_paper_title,citing_year,cited_year,target_reference_marker,target_reference_entry,reference_match_method,reference_match_score,num_mentions,all_target_aligned_contexts,context_type,alignment_status,alignment_note,candidate_upgrade_reason
W2919782326->W2168402580,W2919782326,W2168402580,Making Big Money from Small Sensors: Trading Time-Series Data under Pufferfish Privacy,Query-based data pricing,2019,2020,,,no_reference_entries,0.0,0,,,failed,Target paper could not be matched confidently to a numbered reference entry.,
W4210813858->W2612128091,W4210813858,W2612128091,Data Boundary and Data Pricing Based on the Shapley Value,QIRANA,2022,2020,[27],"S. Deep and P. Koutris, ``QIRANA: A framework for scalable query pricing,'' in Proc. ACM Int. Conf. Manage. Data , May 2017, pp. 699713.",title_exact,0.97,1,"Researchers improved their studies and proposed a framework that allows the price of any query to be derived automatically [26]. QIRANA pricing sys- tem [27] allows exible pricing by allowing the data owners to choose from a variety of pricing functions, specify relation and attribute-level parameters to control the prices of queries. However, most queries considered by these marketplaces are too simplistic to support sophisticated data analytics and decision making.",exact,high_confidence,Reference entry matched with high title confidence and target marker was found.,
W4210813858->W2293940046,W4210813858,W2293940046,Data Boundary and Data Pricing Based on the Shapley Value,Query-Based Data Pricing,2022,2020,[26],"P. Koutris, P. Upadhyaya, M. Balazinska, B. Howe, and D. Suciu, ``Query- based data pricing,'' J. ACM, vol. 62, no. 5, pp. 144, Nov. 2015.",title_exact,0.97,1,"Then data buyers submit queries to the platform, and the platform generates the objective function and corresponding constraints, forming an ILP problem to get the prices. Researchers improved their studies and proposed a framework that allows the price of any query to be derived automatically [26]. QIRANA pricing sys- tem [27] allows exible pricing by allowing the data owners to choose from a variety of pricing functions, specify relation and attribute-level parameters to control the prices of queries.",exact,high_confidence,Reference entry matched with high title confidence and target marker was found.,
W2508874533->W2010653253,W2508874533,W2010653253,Smart Media Pricing (SMP): Non-uniform packet pricing game for wireless multimedia communications,A survey of smart data pricing,2016,2020,[1],"Cisco, Cisco Visual Networking Index, “Global mobile data traf- ﬁc forecast update 2014–2019. white paper c11-520862,” Avail- able on http://www. cisco. com/c/en/us/solutions/collateral/service- provider/visual-networking-index-vni/white paper c11-520862. html . [2]S. Sen, C. Joe-Wong, S. Ha, and M. Chiang, “Smart data pricing (SDP): economic solutions to network congestion,” ACM SIGCOMM Recent Advances in Networking , pp. 221–274, 2013. [3]A. Mas-Colell, M. D. Whinston, J. R. Green et al. ,Microeconomic theory . Oxford university press New York, 1995, vol. 1. [4]S. Sen, C. Joe-Wong, S. Ha, and M. Chiang, “A survey of smart data pricing: Past proposals, current plans, and future trends,” ACM Computing Surveys (CSUR) , vol. 46, no. 2, p. 15, 2013. [5]P. Hande, M. Chiang, R. Calderbank, and J. Zhang, “Pricing under constraints in access networks: Revenue maximization and congestion management,” in Proceedings of IEEE INFOCOM , 2010, pp. 1–9. [6]M. Andrews, U. Ozen, M. Reiman, Q. Wang et al. , “Economic models of sponsored content in wireless networks with uncertain demand,” in Proceedings of IEEE INFOCOM , 2013, pp. 3213–3218. [7]C.-K. Chau, Q. Wang, and D.-M. Chiu, “On the viability of paris metro pricing for communication and service networks,” in Proceedings of IEEE INFOCOM , 2010, pp. 1–9. [8]S. Ha, S. Sen, C. Joe-Wong, Y. Im, and M. Chiang, “Tube: time- dependent pricing for mobile data,” ACM SIGCOMM Computer Com- munication Review , vol. 42, no. 4, pp. 247–258, 2012. [9]S. Sen, C. Joe-Wong, S. Ha, and M. Chiang, “Incentivizing time-shifting of data: a survey of time-dependent pricing for internet access,” IEEE Communications Magazine , vol. 50, no. 11, pp. 91–99, 2012.",title_exact,0.97,3,"I. INTRODUCTION The Cisco Visual Network Index predicted that global mobile data trafﬁc will increase nearly tenfold between 2014 and 2019, and mobile video trafﬁc will account for 72% of the total mobile data trafﬁc by 2019 [1]. It will be enormous strain on already-overburdened mobile networks to meet this big multimedia data demand, which drives mobile network operators to innovate new pricing schemes.

... [another target-aligned mention] ...

The searching table can be updated with the dynamic estimated channel quality in spare time periods between transmitting video sequences. Then, the optimal power and price can be searched directly from the table when non-uniform SMP wasAlgorithm 1 : Non-Uniform Media Pricing Initialization: 1:Initialize the currency gain a, unit cost c, channel quality G, frequency bandwidth W, symbol rate Rs, noise power density N0, maximum iteration steps M, and distortion reduction Diand length Li; i2[1; N]. Iteration: 2:while i+ + 2[1; N]do 3: SetD=DiandL=Li; 4: Initialize Umax = 0; 5: Let =linspace (min; max; M); 6: while m= 1 :Mdo 7: Set= (m)and initialize P0= 0; 8: LetF(P) = Lexp ( ",mixed,grouped,Reference entry matched with high title confidence; marker appears in a grouped citation.,
W3123243120->W2974598553,W3123243120,W2974598553,Nonrivalry and the Economics of Data,Too Much Data: Prices and Inefficiencies in Data Markets,2020,2020,,,no_reference_entries,0.0,0,,,failed,Target paper could not be matched confidently to a numbered reference entry.,
W4226305897->W2734426755,W4226305897,W2734426755,Business Data Sharing through Data Marketplaces: A Systematic Literature Review,An Online Pricing Mechanism for Mobile Crowdsensing Data Markets,2020,2020,56,"Zheng, Z.; Peng, Y.; Wu, F.; Tang, S.; Chen, G. An online pricing mechanism for mobile crowdsensing data markets. In Proceedings of the 18th ACM International Symposium on Mobile Ad Hoc Networking and Computing, Chennai, India, 10–14 July 2017; pp. 1–10.",title_exact,0.97,1,"Another algorithm allows data price to be derived from the privacy losses [ 54]. Studies in query-based pricing mechanisms consider many cases such as query interfaces for mobile crowd-sensed data [ 55,56], cloud-based data mar- ketplaces with possibilities to share cloud resources [ 57], spatial data [ 58], aggregated data from multiple distributed system [ 59], and data acquired from Application Programming Interfaces (APIs) [ 60]. Moreover, Tang et al.",grouped,grouped,Reference entry matched with high title confidence; marker appears in a grouped citation.,
W4226305897->W2743929098,W4226305897,W2743929098,Business Data Sharing through Data Marketplaces: A Systematic Literature Review,Data pricing strategy based on data quality,2020,2017,63,"Yu, H.; Zhang, M. Data pricing strategy based on data quality. Comput. Ind. Eng. 2017 ,112, 1–10. [CrossRef]",title_exact,0.97,1,"[ 62] create efﬁcient query-based auctions by considering both the value data and the resource consumption of queries. Many other articles also propose data quality-based pricing models by considering a bi-level mathematical programming model [ 63], Fair Knapsack Pricing [ 64,65], or optimal distributing algorithm [ 66]. Other works on data quality-based pricing speciﬁcally focus on XML dataset properties [ 67,68].",exact,high_confidence,Reference entry matched with high title confidence and target marker was found.,
W4226305897->W2765365501,W4226305897,W2765365501,Business Data Sharing through Data Marketplaces: A Systematic Literature Review,Pricing of Data Products in Data Marketplaces,2020,2020,47,"Fricker, S.A.; Maksimov, Y.V . Pricing of data products in data marketplaces. In Proceedings of the International Conference of Software Business, Tallinn, Estonia, 11–12 June 2017; pp. 49–66.",title_exact,0.97,3,"It focuses on technical discussions for data pricing. Computational pricing emphasizes algorithms as price determination mechanisms [ 47], such as machine learning-based algorithms to price training data or pre-trained models [48,49]. Advanced techniques are proposed, such as a smart pricing algorithm based on Stackelberg game theory.

... [another target-aligned mention] ...

[124] Market analysis Examining the market size and value of data marketplaces. [125–127] Pricing mechanismsDiscussing mathematical or economic approaches in evaluating, valuating, or pricing datasets (or data services) in data marketplaces.[47,128–145] Articles in the ﬁnance domain are not equally distributed across categories because most discussions are centralized in pricing mechanisms . Unlike the computational pricing in the STOF technology domain that focuses on technical aspects like query- or machine learning-based pricing (see Section 3.2), the pricing mechanisms here emphasize more on mathematical or economic approaches in valuating or pricing data in data marketplaces.

... [another target-aligned mention] ...

Beyond empirical research, systematic literature reviews are also conducted to study data pricing opportunities and challenges in data marketplaces [ 138]. This approach is also employed to explore the different data pricing models in the data marketplace literature [47,139]. Other topics are auction-based pricing using the Bayesian mathematical model [140,141] , a pricing mechanism negotiation based on a negotiation game theory based in the energy domain [ 142], and a generic pricing mechanism based on a non-cooperative game the- ory in Mobile Crowdsensing [ 143].",mixed,grouped,Reference entry matched with high title confidence; marker appears in a grouped citation.,
W4226305897->W2790400697,W4226305897,W2790400697,Business Data Sharing through Data Marketplaces: A Systematic Literature Review,"A Survey on Big Data Market: Pricing, Trading and Protection",2020,2018,139,"Liang, F.; Yu, W.; An, D.; Yang, Q.; Fu, X.; Zhao, W. A Survey on Big Data Market: Pricing, Trading and Protection. IEEE Access 2018 ,6, 15132–15154. [CrossRef]",title_exact,0.97,2,"[124] Market analysis Examining the market size and value of data marketplaces. [125–127] Pricing mechanismsDiscussing mathematical or economic approaches in evaluating, valuating, or pricing datasets (or data services) in data marketplaces.[47,128–145] Articles in the ﬁnance domain are not equally distributed across categories because most discussions are centralized in pricing mechanisms . Unlike the computational pricing in the STOF technology domain that focuses on technical aspects like query- or machine learning-based pricing (see Section 3.2), the pricing mechanisms here emphasize more on mathematical or economic approaches in valuating or pricing data in data marketplaces.

... [another target-aligned mention] ...

Beyond empirical research, systematic literature reviews are also conducted to study data pricing opportunities and challenges in data marketplaces [ 138]. This approach is also employed to explore the different data pricing models in the data marketplace literature [47,139]. Other topics are auction-based pricing using the Bayesian mathematical model [140,141] , a pricing mechanism negotiation based on a negotiation game theory based in the energy domain [ 142], and a generic pricing mechanism based on a non-cooperative game the- ory in Mobile Crowdsensing [ 143].",grouped,grouped,Reference entry matched with high title confidence; marker appears in a grouped citation.,
W4226305897->W2920282816,W4226305897,W2920282816,Business Data Sharing through Data Marketplaces: A Systematic Literature Review,Pricing for Revenue Maximization in IoT Data Markets: An Information Design Perspective,2020,2019,129,"Mao, W.; Zheng, Z.; Wu, F. Pricing for Revenue Maximization in IoT Data Markets: An Information Design Perspective. In Proceedings of the IEEE INFOCOM 2019—IEEE Conference on Computer Communications, Paris, France, 29 April–2 May 2019 ; pp. 1837–1845.",title_exact,0.97,2,"[124] Market analysis Examining the market size and value of data marketplaces. [125–127] Pricing mechanismsDiscussing mathematical or economic approaches in evaluating, valuating, or pricing datasets (or data services) in data marketplaces.[47,128–145] Articles in the ﬁnance domain are not equally distributed across categories because most discussions are centralized in pricing mechanisms . Unlike the computational pricing in the STOF technology domain that focuses on technical aspects like query- or machine learning-based pricing (see Section 3.2), the pricing mechanisms here emphasize more on mathematical or economic approaches in valuating or pricing data in data marketplaces.

... [another target-aligned mention] ...

Res. 2021 ,16 3329 The topics of this category include data trading models that consider contract the- ory [ 128], information design perspective [ 129], and equilibrium pricing mechanism based on Stackelberg game approach [ 130]. Moreover, pricing mechanisms speciﬁcally for per- sonal data are also discussed.",mixed,grouped,Reference entry matched with high title confidence; marker appears in a grouped citation.,
