Source,Target,Raw_Weight_Original,w_ji_original,Raw_Weight_Penalized,w_ji_penalized
W4377865288,W2910976764,0.07492499999999999,1.0,0.07492499999999999,1.0
W4226305897,W2293940046,0.03674999999999998,0.05921609173794527,0.03674999999999998,0.05921609173794527
W3121615946,W2533772775,0.12487500000000001,0.5,0.12487500000000001,0.5
W2514159439,W2045522464,0.12487500000000001,1.0,0.12487500000000001,1.0
W2934375453,W2743929098,0.08671875000000001,0.6342857142857143,0.08671875000000001,0.6342857142857143
W2934375453,W2759182208,0.049999999999999996,0.36571428571428566,0.049999999999999996,0.36571428571428566
W3195579788,W2168402580,0.049999999999999996,0.08613882707630464,0.049999999999999996,0.08613882707630464
W3195579788,W2473283431,0.0006666666666666666,0.0011485176943507285,0.0006666666666666666,0.0011485176943507285
W3195579788,W2612128091,0.12150000000000001,0.20931734979542033,0.12150000000000001,0.20931734979542033
W3195579788,W2743929098,0.06124999999999998,0.10552006316847316,0.06124999999999998,0.10552006316847316
W3195579788,W2765365501,0.12150000000000001,0.20931734979542033,0.12150000000000001,0.20931734979542033
W3195579788,W2790400697,0.0006666666666666666,0.0011485176943507285,0.0006666666666666666,0.0011485176943507285
W3195579788,W3084177365,0.12487500000000001,0.2151317206230709,0.12487500000000001,0.2151317206230709
W3084177365,W2010653253,0.12487500000000001,0.1312194609362686,0.12487500000000001,0.1312194609362686
W3084177365,W2168402580,0.12487500000000001,0.1312194609362686,0.12487500000000001,0.1312194609362686
W3084177365,W2293940046,0.12487500000000001,0.1312194609362686,0.12487500000000001,0.1312194609362686
W3084177365,W2612128091,0.049999999999999996,0.052540324699206636,0.049999999999999996,0.052540324699206636
W3084177365,W2734426755,0.03,0.03152419481952398,0.03,0.03152419481952398
W3084177365,W2743929098,0.06124999999999998,0.06436189775652812,0.06124999999999998,0.06436189775652812
W3084177365,W2765365501,0.07289999999999999,0.07660379341144327,0.07289999999999999,0.07660379341144327
W3084177365,W2790400697,0.12487500000000001,0.1312194609362686,0.12487500000000001,0.1312194609362686
W3084177365,W2974598553,0.088,0.09247097147060368,0.088,0.09247097147060368
W3121615946,W2790400697,0.12487500000000001,0.5,0.12487500000000001,0.5
W2790400697,W2765365501,0.12487500000000001,0.17364450676153287,0.12487500000000001,0.17364450676153287
W3040491562,W2533772775,0.06124999999999998,1.0,0.06124999999999998,1.0
