Source,Target,Source_Clean,Target_Clean,is_author_self_cite,is_inst_self_cite,shared_authors_count
https://openalex.org/W4323644227,https://openalex.org/W2168402580,W4323644227,W2168402580,False,False,0
https://openalex.org/W4210813858,https://openalex.org/W2533772775,W4210813858,W2533772775,False,False,0
https://openalex.org/W4210813858,https://openalex.org/W2743929098,W4210813858,W2743929098,False,False,0
https://openalex.org/W4210813858,https://openalex.org/W2910976764,W4210813858,W2910976764,False,False,0
https://openalex.org/W4210813858,https://openalex.org/W3084177365,W4210813858,W3084177365,False,False,0
https://openalex.org/W3121561769,https://openalex.org/W2974598553,W3121561769,W2974598553,False,False,0
https://openalex.org/W2956647116,https://openalex.org/W2790400697,W2956647116,W2790400697,False,False,0
https://openalex.org/W2982407593,https://openalex.org/W2612128091,W2982407593,W2612128091,False,False,0
https://openalex.org/W1516789636,https://openalex.org/W1777686370,W1516789636,W1777686370,False,True,0
https://openalex.org/W3117086259,https://openalex.org/W2910976764,W3117086259,W2910976764,False,False,0
https://openalex.org/W3117086259,https://openalex.org/W2974598553,W3117086259,W2974598553,False,False,0
https://openalex.org/W4377287661,https://openalex.org/W2018362551,W4377287661,W2018362551,False,False,0
https://openalex.org/W3202764263,https://openalex.org/W2790400697,W3202764263,W2790400697,False,False,0
https://openalex.org/W3202764263,https://openalex.org/W2974598553,W3202764263,W2974598553,False,False,0
https://openalex.org/W4312395603,https://openalex.org/W2743929098,W4312395603,W2743929098,False,False,0
https://openalex.org/W4312395603,https://openalex.org/W2790400697,W4312395603,W2790400697,False,False,0
https://openalex.org/W4312395603,https://openalex.org/W3084177365,W4312395603,W3084177365,False,False,0
https://openalex.org/W2509511072,https://openalex.org/W1994174199,W2509511072,W1994174199,False,False,0
https://openalex.org/W2509511072,https://openalex.org/W2010653253,W2509511072,W2010653253,True,True,1
https://openalex.org/W4288391541,https://openalex.org/W3215634159,W4288391541,W3215634159,True,True,2
https://openalex.org/W2919782326,https://openalex.org/W2168402580,W2919782326,W2168402580,False,False,0
https://openalex.org/W4210813858,https://openalex.org/W2612128091,W4210813858,W2612128091,False,False,0
https://openalex.org/W4210813858,https://openalex.org/W2293940046,W4210813858,W2293940046,False,False,0
https://openalex.org/W2508874533,https://openalex.org/W2010653253,W2508874533,W2010653253,False,False,0
https://openalex.org/W3123243120,https://openalex.org/W2974598553,W3123243120,W2974598553,False,True,0
https://openalex.org/W4226305897,https://openalex.org/W2734426755,W4226305897,W2734426755,False,False,0
https://openalex.org/W4226305897,https://openalex.org/W2743929098,W4226305897,W2743929098,False,False,0
https://openalex.org/W4226305897,https://openalex.org/W2765365501,W4226305897,W2765365501,False,False,0
https://openalex.org/W4226305897,https://openalex.org/W2790400697,W4226305897,W2790400697,False,False,0
https://openalex.org/W4226305897,https://openalex.org/W2920282816,W4226305897,W2920282816,False,False,0
https://openalex.org/W2758203152,https://openalex.org/W2010653253,W2758203152,W2010653253,True,True,1
https://openalex.org/W4323644227,https://openalex.org/W2612128091,W4323644227,W2612128091,False,False,0
https://openalex.org/W3202603574,https://openalex.org/W2974598553,W3202603574,W2974598553,False,False,0
https://openalex.org/W3206864493,https://openalex.org/W2974598553,W3206864493,W2974598553,False,False,0
https://openalex.org/W3210061505,https://openalex.org/W2293940046,W3210061505,W2293940046,False,False,0
https://openalex.org/W3210061505,https://openalex.org/W2533772775,W3210061505,W2533772775,True,True,5
https://openalex.org/W3210061505,https://openalex.org/W2743929098,W3210061505,W2743929098,False,False,0
https://openalex.org/W3210061505,https://openalex.org/W2759182208,W3210061505,W2759182208,False,False,0
https://openalex.org/W3210061505,https://openalex.org/W2765365501,W3210061505,W2765365501,False,False,0
https://openalex.org/W3210061505,https://openalex.org/W2790400697,W3210061505,W2790400697,False,False,0
https://openalex.org/W3210061505,https://openalex.org/W2920282816,W3210061505,W2920282816,False,False,0
https://openalex.org/W4220901737,https://openalex.org/W2765365501,W4220901737,W2765365501,False,False,0
https://openalex.org/W4220901737,https://openalex.org/W2790400697,W4220901737,W2790400697,False,False,0
https://openalex.org/W2289113545,https://openalex.org/W1994174199,W2289113545,W1994174199,False,False,0
https://openalex.org/W2919782326,https://openalex.org/W2612128091,W2919782326,W2612128091,False,False,0
https://openalex.org/W4377865288,https://openalex.org/W2910976764,W4377865288,W2910976764,False,False,0
https://openalex.org/W4226305897,https://openalex.org/W2293940046,W4226305897,W2293940046,False,False,0
https://openalex.org/W3121615946,https://openalex.org/W2533772775,W3121615946,W2533772775,False,False,0
https://openalex.org/W2514159439,https://openalex.org/W2045522464,W2514159439,W2045522464,False,False,0
https://openalex.org/W2934375453,https://openalex.org/W2743929098,W2934375453,W2743929098,False,False,0
https://openalex.org/W2934375453,https://openalex.org/W2759182208,W2934375453,W2759182208,False,False,0
https://openalex.org/W3195579788,https://openalex.org/W2168402580,W3195579788,W2168402580,False,False,0
https://openalex.org/W3195579788,https://openalex.org/W2473283431,W3195579788,W2473283431,False,False,0
https://openalex.org/W3195579788,https://openalex.org/W2612128091,W3195579788,W2612128091,False,False,0
https://openalex.org/W3195579788,https://openalex.org/W2743929098,W3195579788,W2743929098,False,False,0
https://openalex.org/W3195579788,https://openalex.org/W2765365501,W3195579788,W2765365501,False,False,0
https://openalex.org/W3195579788,https://openalex.org/W2790400697,W3195579788,W2790400697,False,False,0
https://openalex.org/W3195579788,https://openalex.org/W3084177365,W3195579788,W3084177365,False,False,0
https://openalex.org/W3084177365,https://openalex.org/W2010653253,W3084177365,W2010653253,False,False,0
https://openalex.org/W3084177365,https://openalex.org/W2168402580,W3084177365,W2168402580,False,False,0
https://openalex.org/W3084177365,https://openalex.org/W2293940046,W3084177365,W2293940046,False,False,0
https://openalex.org/W3084177365,https://openalex.org/W2612128091,W3084177365,W2612128091,False,False,0
https://openalex.org/W3084177365,https://openalex.org/W2734426755,W3084177365,W2734426755,False,False,0
https://openalex.org/W3084177365,https://openalex.org/W2743929098,W3084177365,W2743929098,False,False,0
https://openalex.org/W3084177365,https://openalex.org/W2765365501,W3084177365,W2765365501,False,False,0
https://openalex.org/W3084177365,https://openalex.org/W2790400697,W3084177365,W2790400697,False,False,0
https://openalex.org/W3084177365,https://openalex.org/W2974598553,W3084177365,W2974598553,False,False,0
https://openalex.org/W3121615946,https://openalex.org/W2790400697,W3121615946,W2790400697,False,False,0
https://openalex.org/W2790400697,https://openalex.org/W2765365501,W2790400697,W2765365501,False,False,0
https://openalex.org/W3040491562,https://openalex.org/W2533772775,W3040491562,W2533772775,False,False,0
https://openalex.org/W2790400697,https://openalex.org/W2743929098,W2790400697,W2743929098,False,False,0
https://openalex.org/W3002742063,https://openalex.org/W2289113545,W3002742063,W2289113545,False,False,0
https://openalex.org/W2974598553,https://openalex.org/W3123243120,W2974598553,W3123243120,False,True,0
https://openalex.org/W3089176333,https://openalex.org/W2293940046,W3089176333,W2293940046,False,False,0
https://openalex.org/W3089176333,https://openalex.org/W2612128091,W3089176333,W2612128091,False,False,0
https://openalex.org/W3089176333,https://openalex.org/W2743929098,W3089176333,W2743929098,False,False,0
https://openalex.org/W3089176333,https://openalex.org/W2920282816,W3089176333,W2920282816,False,False,0
https://openalex.org/W4226382147,https://openalex.org/W2045522464,W4226382147,W2045522464,False,False,0
https://openalex.org/W2533772775,https://openalex.org/W2168402580,W2533772775,W2168402580,False,False,0
https://openalex.org/W2996741051,https://openalex.org/W2010653253,W2996741051,W2010653253,False,False,0
https://openalex.org/W3186955607,https://openalex.org/W2018362551,W3186955607,W2018362551,False,False,0
